team,total_points
Bournemouth,3.2162162162162162
Nott'm Forest,3.473684210526316
Spurs,3.4864864864864864
Everton,3.5
West Ham,3.5142857142857142
Crystal Palace,3.6315789473684212
Arsenal,3.763157894736842
Chelsea,3.7837837837837838
Man City,3.789473684210526
Brighton,3.8684210526315788
Fulham,3.9210526315789473
Aston Villa,3.9722222222222223
Wolves,4.052631578947368
Man Utd,4.2368421052631575
Liverpool,4.315789473684211
Brentford,4.368421052631579
Newcastle,4.405405405405405
