Ast_2,Ast_30,Ast_4,FPL_points,FPL_points_2,FPL_points_30,FPL_points_4,FPL_pos,GW,Gls_2,Gls_30,Gls_4,Min_2,Min_30,Min_4,Name_original,Opp_rating,Opp_score_2,Opp_score_30,Opp_score_4,Opponent,Rating_difference,Season,Team,Team_CS_2,Team_CS_30,Team_CS_4,Team_rating,Team_result_2,Team_result_30,Team_result_4,Team_score_2,Team_score_30,Team_score_4,Was_home,xA_2,xA_30,xA_4,xG_2,xG_30,xG_4,xP
0.0,0.0,0.0,2.0,5.0,4.25,4.5,GK,15,0.0,0.0,0.0,90.0,75.0,90.0,Aaron Ramsdale,1739.54931641,1.5,1.5,1.75,Everton,1.0663518074027376,2021-22,Arsenal,0.5,0.4166666666666667,0.5,1854.97155762,1.5,1.6666666666666667,1.5,2.0,1.3333333333333333,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,11.0,2.5,4.076923076923077,3.25,GK,16,0.0,0.0,0.0,90.0,76.15384615384616,90.0,Aaron Ramsdale,1698.00256348,2.5,1.5384615384615385,2.25,Southampton,1.0791289771522083,2021-22,Arsenal,0.0,0.38461538461538464,0.25,1832.36376953,0.0,1.5384615384615385,0.75,1.5,1.3076923076923077,1.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
0.0,0.0,0.0,5.0,6.5,4.571428571428571,5.75,GK,17,0.0,0.0,0.0,90.0,77.14285714285714,90.0,Aaron Ramsdale,1823.76916504,1.0,1.4285714285714286,1.25,West Ham,1.008483755733232,2021-22,Arsenal,0.5,0.42857142857142855,0.5,1839.24157715,1.5,1.6428571428571428,1.5,2.0,1.4285714285714286,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.0,0.0,0.0,2.0,8.0,4.6,5.25,GK,18,0.0,0.0,0.0,90.0,78.0,90.0,Aaron Ramsdale,1736.90490723,0.0,1.3333333333333333,1.25,Leeds United,1.0642878402641383,2021-22,Arsenal,1.0,0.4666666666666667,0.5,1848.56677246,3.0,1.7333333333333334,1.5,2.5,1.4666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,1.0,3.5,4.4375,5.0,GK,21,0.0,0.0,0.0,90.0,78.75,90.0,Aaron Ramsdale,2017.76086426,0.5,1.3125,0.75,Manchester City,0.9251508984215588,2021-22,Arsenal,0.5,0.4375,0.5,1866.73327637,3.0,1.8125,2.25,3.0,1.625,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,8.0,1.5,4.235294117647059,4.75,GK,23,0.0,0.0,0.0,90.0,79.41176470588235,90.0,Aaron Ramsdale,1678.13061523,1.5,1.3529411764705883,0.75,Burnley,1.1093206595750331,2021-22,Arsenal,0.0,0.4117647058823529,0.5,1861.58496094,1.5,1.7058823529411764,2.25,2.5,1.588235294117647,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
0.0,0.0,0.0,9.0,4.5,4.444444444444445,4.0,GK,24,0.0,0.0,0.0,90.0,80.0,90.0,Aaron Ramsdale,1772.9276123,1.0,1.2777777777777777,0.75,Wolves,1.046833192615396,2021-22,Arsenal,0.5,0.4444444444444444,0.5,1855.95947266,0.5,1.6666666666666667,1.75,0.5,1.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0.0,0.0,0.0,2.0,8.5,4.684210526315789,5.0,GK,26,0.0,0.0,0.0,90.0,80.52631578947368,90.0,Aaron Ramsdale,1659.69030762,0.0,1.2105263157894737,0.75,Brentford,1.1246681513472896,2021-22,Arsenal,1.0,0.47368421052631576,0.5,1866.60083008,2.0,1.736842105263158,1.75,0.5,1.4736842105263157,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,2.0,5.5,4.55,5.0,GK,20,0.0,0.0,0.0,90.0,81.0,90.0,Aaron Ramsdale,1791.41040039,0.5,1.2,0.75,Wolves,1.0443198384427796,2021-22,Arsenal,0.5,0.45,0.5,1870.80541992,3.0,1.8,1.75,1.5,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,2.0,2.0,4.428571428571429,5.25,GK,28,0.0,0.0,0.0,90.0,81.42857142857143,90.0,Aaron Ramsdale,1632.76672363,1.0,1.1904761904761905,0.5,Watford,1.149191159290922,2021-22,Arsenal,0.0,0.42857142857142855,0.5,1876.36108398,3.0,1.8571428571428572,2.5,2.0,1.5238095238095237,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
