,index,Date,Day,Comp,Round,Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Name,Season,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,WDL,GoalsTeams,Team Score,Opp Score,CS,Was Home,GW
215,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Everton,Fulham,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Jarrad-Branthwaite,2023-24,0,0,0,0,0,0,0,0,L,0–1,0,1,0.0,1.0,1
216,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,West Ham,Bournemouth,Y,RW,90.0,1.0,0.0,0,0,6,1,1,0,42,2,0,1,0.2,0.2,0.5,5,0,18,27,66.7,2,19,3,7,4,Match Report,Jarrod-Bowen,2023-24,,,,,,,,,D,1–1,1,1,0.0,0.0,1
217,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Brighton,Luton Town,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,39,39,100.0,0,28,0,0,0,Match Report,Jason-Steele,2023-24,,,,,,,,,W,4–1,4,1,0.0,1.0,1
218,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,Crystal Palace,Sheffield Utd,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Jean-Philippe-Mateta,2023-24,0,0,0,0,0,0,0,0,W,1–0,1,0,1.0,0.0,1
219,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,Crystal Palace,Sheffield Utd,Y,LW,90.0,0.0,0.0,0,0,2,1,0,0,40,4,0,0,0.1,0.1,0.0,4,0,17,28,60.7,3,30,0,4,3,Match Report,Jeffrey-Schlupp,2023-24,,,,,,,,,W,1–0,1,0,1.0,0.0,1
220,0,2023-08-05,Sat,Championship,Matchweek 1,Away,West Brom,Blackburn,N,LW,20.0,0.0,0.0,0,0,1,0,0,0,12.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,10.0,50.0,1.0,8.0,2.0,2.0,1.0,Match Report,Jeremy-Sarmiento,2023-24,,,,,,,,,L,1–2,1,2,0.0,0.0,1
221,1,2023-08-08,Tue,EFL Cup,First round,Away,West Brom,Stoke City,N,,17.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Jeremy-Sarmiento,2023-24,,,,,,,,,L,1–2,1,2,0.0,0.0,round
222,2,2023-08-12,Sat,Championship,Matchweek 2,Home,West Brom,Swansea City,N,FW,13.0,0.0,0.0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.1,1.0,0.0,1.0,1.0,100.0,0.0,3.0,2.0,1.0,1.0,Match Report,Jeremy-Sarmiento,2023-24,,,,,,,,,W,3–2,3,2,0.0,1.0,2
223,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,Crystal Palace,Sheffield Utd,Y,CB,90.0,0.0,0.0,0,0,2,2,0,0,99,3,0,1,0.2,0.2,0.1,5,0,78,86,90.7,10,69,4,2,2,Match Report,Joachim-Andersen,2023-24,,,,,,,,,W,1–0,1,0,1.0,0.0,1
224,0,2023-08-14,Mon,Premier League,Matchweek 1,Away,Wolves,Manchester Utd,Y,"CM,DM",87.0,0.0,0.0,0,0,1,0,0,0,48,4,0,0,0.0,0.0,0.1,6,0,31,38,81.6,3,28,0,3,2,Match Report,Joao-Gomes,2023-24,,,,,,,,,L,0–1,0,1,0.0,0.0,1
