cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,,,,0,1,,Third round,FW,,0,,,EFL Cup,90,2022-11-09,Y,,0,,,2,,0,0,,,3,Home,,W 2–0,,Wed,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",,Chelsea
0,0,0,,0,0,4,Matchweek 16,LW,,0,80.0,1,Premier League,5,2022-11-12,N,8,0,1,0,1,5,0,0,0.1,0,1,Home,0.0,L 1–2,0,Sat,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.0,Brentford
0,,,,0,1,,Friendlies (M),FW,,0,,,Friendlies (M),50,2022-11-16,Y,,,,,,,0,0,,,,Neutral,,W 5–0,,Wed,"<span title=""Argentina""><span class=""f-i f-ar"" style="""">ar</span></span>",,UAE
0,0,1,,0,0,1,Group stage,LM,,0,12.5,0,World Cup,32,2022-11-22,N,10,0,0,0,1,8,0,0,0.0,0,1,Neutral,0.0,L 1–2,1,Tue,"<span title=""Argentina""><span class=""f-i f-ar"" style="""">ar</span></span>",0.0,Saudi Arabia
0,0,1,,0,0,6,Group stage,FW,,0,75.0,0,World Cup,28,2022-11-26,N,14,0,0,1,0,8,0,0,0.0,0,0,Neutral,0.0,W 2–0,1,Sat,"<span title=""Argentina""><span class=""f-i f-ar"" style="""">ar</span></span>",0.0,Mexico
0,0,0,,0,1,20,Group stage,"LW,FW",,0,87.0,1,World Cup,78,2022-11-30,Y,34,0,3,2,3,23,0,0,0.0,0,6,Neutral,1.0,W 2–0,1,Wed,"<span title=""Argentina""><span class=""f-i f-ar"" style="""">ar</span></span>",1.0,Poland
0,0,0,,0,1,14,Round of 16,"RW,FW,LW",,0,82.4,0,World Cup,70,2022-12-03,Y,26,0,0,0,1,17,0,0,0.0,0,1,Neutral,0.6,W 2–1,3,Sat,"<span title=""Argentina""><span class=""f-i f-ar"" style="""">ar</span></span>",0.6,Australia
0,0,1,,0,0,12,Quarter-finals,FW,,0,70.6,0,World Cup,81,2022-12-09,Y,26,0,1,0,0,17,0,0,0.1,0,0,Neutral,0.0,D 2 ,0,Fri,"<span title=""Argentina""><span class=""f-i f-ar"" style="""">ar</span></span>",0.0,Netherlands
0,0,1,,0,2,13,Semi-finals,FW,,0,86.7,1,World Cup,73,2022-12-13,Y,25,0,1,0,2,15,0,0,0.0,1,2,Neutral,1.0,W 3–0,1,Tue,"<span title=""Argentina""><span class=""f-i f-ar"" style="""">ar</span></span>",1.0,Croatia
0,0,0,,0,0,27,Final,FW,,0,81.8,1,World Cup,102,2022-12-18,Y,40,0,5,1,1,33,0,0,0.0,1,1,Neutral,0.1,D 3 ,1,Sun,"<span title=""Argentina""><span class=""f-i f-ar"" style="""">ar</span></span>",0.1,France
