cards_yellow,npxg,dribbles_completed,tackles,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,match_report,opponent
0,0.0,0,0,0,0,9,Matchweek 14,GK,,0,64.3,0,Premier League,45,2022-10-30,N,14,0,0,0,0,14,0,0,0.0,0,0,Away,0.0,L 0–1,0,Sun,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",,Manchester Utd
0,0.0,0,0,0,0,31,Group stage,GK,,0,72.1,0,Conf Lg,90,2022-11-03,Y,44,0,0,0,0,43,0,0,0.0,0,0,Away,0.0,W 3–0,0,Thu,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,FCSB
,,,,,,,Matchweek 15,,"On matchday squad, but did not play",,,,Premier League,,2022-11-06,N,,,,,,,,,,,,Home,,L 1–2,,Sun,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",,Crystal Palace
0,,,,0,0,,Third round,GK,,0,,,EFL Cup,90,2022-11-09,Y,,0,,,0,,0,0,,,0,Home,,D 2 ,,Wed,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",,Blackburn
,,,,,,,Matchweek 16,,"On matchday squad, but did not play",,,,Premier League,,2022-11-12,N,,,,,,,,,,,,Home,,L 0–2,,Sat,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",,Leicester City
,,,,,,,Group stage,,"On matchday squad, but did not play",,,,World Cup,,2022-11-22,N,,,,,,,,,,,,Neutral,,W 4–1,,Tue,"<span title=""France""><span class=""f-i f-fr"" style="""">fr</span></span>",,Australia
,,,,,,,Group stage,,"On matchday squad, but did not play",,,,World Cup,,2022-11-26,N,,,,,,,,,,,,Neutral,,W 2–1,,Sat,"<span title=""France""><span class=""f-i f-fr"" style="""">fr</span></span>",,Denmark
,,,,,,,Group stage,,"On matchday squad, but did not play",,,,World Cup,,2022-11-30,N,,,,,,,,,,,,Neutral,,L 0–1,,Wed,"<span title=""France""><span class=""f-i f-fr"" style="""">fr</span></span>",,Tunisia
,,,,,,,Round of 16,,"On matchday squad, but did not play",,,,World Cup,,2022-12-04,N,,,,,,,,,,,,Neutral,,W 3–1,,Sun,"<span title=""France""><span class=""f-i f-fr"" style="""">fr</span></span>",,Poland
,,,,,,,Quarter-finals,,"On matchday squad, but did not play",,,,World Cup,,2022-12-10,N,,,,,,,,,,,,Neutral,,W 2–1,,Sat,"<span title=""France""><span class=""f-i f-fr"" style="""">fr</span></span>",,England
,,,,,,,Semi-finals,,"On matchday squad, but did not play",,,,World Cup,,2022-12-14,N,,,,,,,,,,,,Neutral,,W 2–0,,Wed,"<span title=""France""><span class=""f-i f-fr"" style="""">fr</span></span>",,Morocco
,,,,,,,Final,,"On matchday squad, but did not play",,,,World Cup,,2022-12-18,N,,,,,,,,,,,,Neutral,,D 3 ,,Sun,"<span title=""France""><span class=""f-i f-fr"" style="""">fr</span></span>",,Argentina
