h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.88594,4.36748,1.12477,3.60631,"{'att': 369, 'def': 16}","{'att': 110, 'def': 16}",5,17,1,4,0.1878,l,2023-08-12 14:00:00,0,0,1,0,-2.48154
a,0.465741,3.41419,0.465741,3.41419,"{'att': 440, 'def': 23}","{'att': 142, 'def': 20}",4,17,0,3,0.07880000000000001,l,2023-08-25 19:00:00,0,0,1,0,-2.948449
h,2.02244,1.22528,2.02244,1.22528,"{'att': 341, 'def': 16}","{'att': 158, 'def': 23}",8,6,1,2,1.9915000000000003,l,2023-09-01 19:00:00,0,0,1,0,0.7971600000000001
