goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DL,Brentford,Bournemouth,2,2,2023-09-02,21928,2023,608664,0.018334733322262764,0,1,0,0,0.5795491933822632,0.5795491933822632
0,0,0,90,DL,Bournemouth,Tottenham,0,2,2023-08-26,22296,2023,606645,0,0,0,0,0,0.023935768753290176,0.023935768753290176
0,0,0,90,DL,Liverpool,Bournemouth,3,1,2023-08-19,22288,2023,605137,0,0,0,0,0,0.33833327889442444,0.33833327889442444
0,0,0,90,DL,Bournemouth,West Ham,1,1,2023-08-12,22277,2023,603730,0.03189890831708908,0,1,0,0,0.0745670422911644,0.0745670422911644
