id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1688,Andrew Robertson,3,270,0,0,0,0.20154660288244486,0,5,0,0,D,Liverpool,0,0,0.20421281084418297,0.18356826528906822
1726,Abdoulaye Doucouré,3,270,0,0.9671149551868439,0,0.892693642526865,4,5,0,0,M,Everton,0,0.9671149551868439,1.886004850268364,0.05111025273799896
1736,Oliver McBurnie,1,14,0,0.03393898531794548,0,0.5949807167053223,1,1,0,0,S,Sheffield United,0,0.03393898531794548,0.5949807167053223,0.5949807167053223
1771,Reece Burke,1,79,0,0,0,0.016446983441710472,0,1,0,0,D,Luton,0,0,0.09007885307073593,0.07363187521696091
1789,Lewis Cook,1,39,0,0.024041421711444855,0,0,1,0,0,0,S,Bournemouth,0,0.024041421711444855,0.07647287100553513,0.07647287100553513
1791,Trent Alexander-Arnold,3,260,0,0.11302997171878815,0,0.2082630917429924,3,4,2,0,D,Liverpool,0,0.11302997171878815,0.7214903086423874,0.5447072274982929
1823,Lucas Digne,3,264,0,0.054824091494083405,1,0.4386749863624573,1,6,2,0,D,Aston Villa,0,0.054824091494083405,0.7380746155977249,0.5189302377402782
2182,Jefferson Lerma,3,270,0,0.08985615149140358,0,0.16723656468093395,3,4,0,0,M,Crystal Palace,0,0.08985615149140358,1.4043225347995758,1.219722606241703
2199,Pablo Sarabia,3,112,0,0.35003745555877686,1,0.9607797563076019,4,5,0,0,F S,Wolverhampton Wanderers,0,0.35003745555877686,0.6495030224323273,0.1007671095430851
2254,Mateo Kovacic,3,248,0,0.12494867295026779,0,0.5757587403059006,4,3,0,0,M S,Manchester City,0,0.12494867295026779,2.667233258485794,2.228046804666519
2310,Alphonse Areola,3,270,0,0,0,0,0,0,0,0,GK,West Ham,0,0,0.3158218301832676,0.3158218301832676
2328,Thomas Partey,3,238,0,0.09602723270654678,0,0.12622319534420967,2,3,0,0,D,Arsenal,0,0.09602723270654678,1.9458359777927399,1.88214710354805
2335,Pablo Fornals,3,94,0,0.16548946499824524,0,0.15140211395919323,3,2,0,0,M S,West Ham,0,0.16548946499824524,0.5940147414803505,0.2953107785433531
2498,Aymeric Laporte,1,6,0,0.11228246241807938,0,0,1,0,0,0,S,Manchester City,0,0.11228246241807938,0,0
2674,Thilo Kehrer,2,10,0,0,0,0,0,0,1,0,S,West Ham,0,0,0.09207619726657867,0.09207619726657867
2958,Oleksandr Zinchenko,2,33,0,0,0,0.11146119236946106,0,2,0,0,S,Arsenal,0,0,0.09572550654411316,0.021605458110570908
3203,Issa Diop,3,270,0,0.12784011662006378,0,0,2,0,0,0,D,Fulham,0,0.12784011662006378,0.6588250491768122,0.6588250491768122
3278,Maxwel Cornet,1,1,0,0,0,0,0,0,0,0,S,West Ham,0,0,0,0
3288,Thiago Silva,3,270,0,0.021915338933467865,0,0.047899890691041946,1,1,0,0,D,Chelsea,0,0.021915338933467865,1.7732875496149063,1.7732875496149063
