h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.27616,0.422704,2.27616,0.422704,"{'att': 101, 'def': 23}","{'att': 312, 'def': 22}",9,2,1,0,2.6568,w,2023-08-12 14:00:00,1,0,0,3,1.853456
h,1.06916,2.20593,1.06916,1.4448,"{'att': 230, 'def': 16}","{'att': 192, 'def': 20}",10,7,0,1,0.5810000000000001,l,2023-08-21 19:00:00,0,0,1,0,-0.37564
a,1.06061,0.948011,1.06061,0.948011,"{'att': 318, 'def': 25}","{'att': 160, 'def': 25}",5,5,1,1,1.4223000000000001,d,2023-08-26 14:00:00,0,1,0,1,0.112599
h,2.32935,1.13911,2.32935,1.13911,"{'att': 296, 'def': 25}","{'att': 191, 'def': 29}",11,8,3,2,2.2419000000000002,w,2023-09-03 13:00:00,1,0,0,3,1.1902399999999997
