h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.966305,0.84262,0.966305,0.84262,"{'att': 441, 'def': 10}","{'att': 108, 'def': 27}",4,9,1,2,1.4883000000000002,l,2023-08-12 11:30:00,0,0,1,0,0.12368499999999993
h,1.37181,0.551038,1.37181,0.551038,"{'att': 238, 'def': 15}","{'att': 238, 'def': 19}",6,4,2,1,2.0681000000000003,w,2023-08-18 18:45:00,1,0,0,3,0.820772
a,0.960354,3.02803,0.960354,2.26686,"{'att': 258, 'def': 13}","{'att': 160, 'def': 19}",5,13,2,3,0.2116,l,2023-08-26 14:00:00,0,0,1,0,-1.3065059999999997
a,1.1505,2.28442,1.1505,2.28442,"{'att': 347, 'def': 18}","{'att': 118, 'def': 19}",2,18,1,0,0.5925,w,2023-09-02 14:00:00,1,0,0,3,-1.1339199999999998
