h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.422704,2.27616,0.422704,2.27616,"{'att': 312, 'def': 22}","{'att': 101, 'def': 23}",2,9,0,1,0.2253,l,2023-08-12 14:00:00,0,0,1,0,-1.853456
a,0.551038,1.37181,0.551038,1.37181,"{'att': 238, 'def': 19}","{'att': 238, 'def': 15}",4,6,1,2,0.6533,l,2023-08-18 18:45:00,0,0,1,0,-0.820772
h,0.762232,3.84804,0.762232,3.08687,"{'att': 406, 'def': 11}","{'att': 92, 'def': 14}",3,22,1,2,0.07400000000000001,l,2023-08-27 13:00:00,0,0,1,0,-2.3246379999999998
h,1.575,2.73871,1.575,2.73871,"{'att': 256, 'def': 20}","{'att': 225, 'def': 26}",5,3,2,2,0.5813999999999999,d,2023-09-02 11:30:00,0,1,0,1,-1.1637100000000002
