h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,4.36748,1.88594,3.60631,1.12477,"{'att': 110, 'def': 16}","{'att': 369, 'def': 16}",17,5,4,1,2.7246,w,2023-08-12 14:00:00,1,0,0,3,2.48154
a,3.15562,2.68821,3.15562,2.68821,"{'att': 263, 'def': 35}","{'att': 327, 'def': 24}",14,6,4,1,1.6748,w,2023-08-19 14:00:00,1,0,0,3,0.46740999999999966
h,1.3743,2.9527,1.3743,2.9527,"{'att': 80, 'def': 21}","{'att': 283, 'def': 10}",23,7,1,3,0.4377,l,2023-08-26 16:30:00,0,0,1,0,-1.5784
h,1.32258,0.90476,1.32258,0.90476,"{'att': 273, 'def': 27}","{'att': 360, 'def': 30}",9,7,3,1,1.7291,w,2023-09-02 16:30:00,1,0,0,3,0.4178200000000001
