h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.84262,0.966305,0.84262,0.966305,"{'att': 108, 'def': 27}","{'att': 441, 'def': 10}",9,4,2,1,1.1754,w,2023-08-12 11:30:00,1,0,0,3,-0.12368499999999993
a,2.20593,1.06916,1.4448,1.06916,"{'att': 192, 'def': 20}","{'att': 230, 'def': 16}",7,10,1,0,2.2217,w,2023-08-21 19:00:00,1,0,0,3,0.37564
h,3.23088,0.849817,2.46971,0.849817,"{'att': 144, 'def': 18}","{'att': 320, 'def': 9}",22,2,2,2,2.7578,d,2023-08-26 14:00:00,0,1,0,1,1.619893
