h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.486,4.32208,1.486,4.32208,"{'att': 324, 'def': 28}","{'att': 255, 'def': 17}",6,9,1,5,0.1709,l,2023-08-12 16:30:00,0,0,1,0,-2.83608
h,3.24336,0.721465,2.48219,0.721465,"{'att': 204, 'def': 12}","{'att': 385, 'def': 23}",13,2,4,0,2.8068999999999997,w,2023-08-20 13:00:00,1,0,0,3,1.760725
a,2.83691,0.630605,2.83691,0.630605,"{'att': 365, 'def': 15}","{'att': 254, 'def': 31}",9,8,3,1,2.7695000000000003,w,2023-08-27 13:00:00,1,0,0,3,2.206305
