h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.58144,2.59001,1.58144,2.59001,"{'att': 174, 'def': 10}","{'att': 341, 'def': 23}",6,7,1,0,0.6909,w,2023-08-12 14:00:00,1,0,0,3,-1.00857
h,0.399899,3.46888,0.399899,2.70772,"{'att': 241, 'def': 23}","{'att': 243, 'def': 19}",8,13,0,3,0.0434,l,2023-08-19 14:00:00,0,0,1,0,-2.307821
a,0.849817,3.23088,0.849817,2.46971,"{'att': 320, 'def': 9}","{'att': 144, 'def': 18}",2,22,2,2,0.1577,d,2023-08-26 14:00:00,0,1,0,1,-1.619893
