h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.72228,1.97087,1.72228,1.97087,"{'att': 243, 'def': 18}","{'att': 233, 'def': 32}",12,16,0,1,1.1733,l,2023-08-14 19:00:00,0,0,1,0,-0.24858999999999987
h,2.68821,3.15562,2.68821,3.15562,"{'att': 327, 'def': 24}","{'att': 263, 'def': 35}",6,14,1,4,1.1195,l,2023-08-19 14:00:00,0,0,1,0,-0.46740999999999966
a,1.40228,1.89792,1.40228,1.89792,"{'att': 194, 'def': 19}","{'att': 313, 'def': 24}",4,7,1,0,1.0219,w,2023-08-26 14:00:00,1,0,0,3,-0.4956400000000001
a,1.13911,2.32935,1.13911,2.32935,"{'att': 191, 'def': 29}","{'att': 296, 'def': 25}",8,11,2,3,0.5703,l,2023-09-03 13:00:00,0,0,1,0,-1.1902399999999997
