h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.90756,1.45316,1.1464,1.45316,"{'att': 282, 'def': 20}","{'att': 182, 'def': 31}",11,7,2,2,1.7563,d,2023-08-13 13:00:00,0,1,0,1,-0.3067599999999999
a,3.46888,0.399899,2.70772,0.399899,"{'att': 243, 'def': 19}","{'att': 241, 'def': 23}",13,8,3,0,2.9282,w,2023-08-19 14:00:00,1,0,0,3,2.307821
h,0.948011,1.06061,0.948011,1.06061,"{'att': 160, 'def': 25}","{'att': 318, 'def': 25}",5,5,1,1,1.2513,d,2023-08-26 14:00:00,0,1,0,1,-0.112599
