h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.93258,1.29994,1.93258,1.29994,"{'att': 170, 'def': 19}","{'att': 421, 'def': 21}",11,9,1,1,1.8441,d,2023-08-13 15:30:00,0,1,0,1,0.6326399999999999
a,1.60916,1.71234,0.847993,0.951168,"{'att': 116, 'def': 22}","{'att': 351, 'def': 13}",9,3,1,3,1.2349,l,2023-08-20 15:30:00,0,0,1,0,-0.10317500000000002
h,3.41419,0.465741,3.41419,0.465741,"{'att': 142, 'def': 20}","{'att': 440, 'def': 23}",17,4,3,0,2.8739,w,2023-08-25 19:00:00,1,0,0,3,2.948449
