iter	Passed	Remaining
417	2775	3864
418	2780	3855
419	2786	3847
420	2791	3838
421	2796	3829
422	2814	3838
423	2824	3836
424	2835	3836
425	2841	3828
426	2847	3820
427	2852	3812
428	2857	3802
429	2864	3796
430	2869	3787
431	2873	3778
432	2882	3773
433	2887	3765
434	2896	3761
435	2901	3753
436	2906	3744
437	2912	3736
438	2917	3728
439	2922	3719
440	2929	3713
441	2934	3704
442	2939	3695
443	2964	3712
444	2972	3707
445	2980	3702
446	2987	3695
447	2993	3688
448	2998	3679
449	3003	3670
450	3014	3669
451	3018	3660
452	3034	3664
453	3040	3656
454	3044	3647
455	3060	3651
456	3069	3647
457	3080	3645
458	3086	3638
459	3094	3632
460	3099	3623
461	3104	3614
462	3109	3606
463	3115	3598
464	3120	3589
465	3127	3583
466	3132	3575
467	3140	3569
468	3146	3561
469	3151	3553
470	3159	3548
471	3164	3540
472	3169	3531
473	3174	3523
474	3180	3515
475	3187	3508
476	3192	3500
477	3197	3491
478	3202	3482
479	3209	3477
480	3214	3468
481	3221	3462
482	3226	3453
483	3231	3444
484	3236	3436
485	3241	3428
486	3246	3419
487	3252	3412
488	3257	3404
489	3262	3395
490	3271	3391
491	3277	3384
492	3282	3376
493	3298	3378
494	3303	3369
495	3308	3361
496	3312	3352
497	3319	3346
498	3324	3338
499	3329	3329
500	3337	3323
501	3342	3315
502	3347	3307
503	3354	3301
504	3359	3292
505	3364	3284
506	3369	3276
507	3376	3269
508	3383	3263
509	3389	3256
510	3394	3247
511	3401	3242
512	3406	3233
513	3411	3225
514	3421	3222
515	3425	3213
516	3430	3205
517	3435	3196
518	3440	3188
519	3445	3180
520	3452	3173
521	3457	3165
522	3462	3157
523	3470	3152
524	3475	3144
525	3481	3137
526	3487	3130
527	3492	3122
528	3498	3114
529	3504	3107
530	3508	3099
531	3516	3093
532	3520	3084
533	3525	3076
534	3537	3074
535	3542	3066
536	3556	3066
537	3561	3058
538	3567	3051
539	3572	3043
540	3579	3036
541	3584	3028
542	3589	3020
543	3596	3014
544	3602	3007
545	3607	2999
546	3614	2993
547	3619	2985
548	3624	2977
549	3629	2969
550	3634	2961
551	3638	2953
552	3644	2946
553	3650	2938
554	3654	2930
555	3661	2924
556	3666	2916
557	3672	2909
558	3681	2904
559	3686	2896
560	3692	2889
561	3697	2881
562	3702	2873
563	3709	2867
564	3714	2860
565	3719	2852
566	3726	2845
567	3732	2838
568	3736	2830
569	3742	2823
570	3747	2815
571	3752	2808
572	3757	2800
573	3762	2792
574	3767	2784
575	3774	2778
576	3779	2770
577	3785	2763
578	3794	2758
579	3799	2751
580	3804	2743
581	3821	2744
582	3826	2736
583	3831	2728
584	3835	2721
585	3842	2714
586	3847	2706
587	3852	2699
588	3860	2693
589	3865	2686
590	3870	2678
591	3877	2672
592	3882	2665
593	3888	2657
594	3893	2650
595	3898	2642
596	3905	2636
597	3911	2629
598	3916	2622
599	3925	2617
600	3930	2609
601	3939	2604
602	3944	2597
603	3949	2589
604	3955	2582
605	3961	2575
606	3965	2567
607	3971	2560
608	3977	2553
609	3981	2545
610	3989	2539
611	3994	2532
612	3999	2524
613	4007	2519
614	4012	2511
615	4018	2505
616	4023	2497
617	4028	2489
618	4032	2482
619	4040	2476
620	4046	2469
621	4053	2463
622	4059	2456
623	4064	2449
624	4080	2448
625	4085	2441
626	4091	2433
627	4095	2426
628	4102	2419
629	4108	2412
630	4113	2405
631	4121	2399
632	4126	2392
633	4131	2384
634	4138	2378
635	4143	2371
636	4148	2364
637	4153	2356
638	4159	2349
639	4166	2343
640	4171	2336
641	4176	2328
642	4183	2322
643	4190	2316
644	4195	2309
645	4206	2304
646	4211	2297
647	4216	2290
648	4222	2283
649	4226	2275
650	4232	2269
651	4238	2262
652	4243	2254
653	4250	2248
654	4256	2241
655	4261	2234
656	4268	2228
657	4273	2221
658	4278	2213
659	4283	2206
660	4288	2199
661	4293	2191
662	4301	2186
663	4307	2179
664	4311	2172
665	4317	2165
666	4323	2158
667	4333	2153
668	4338	2146
669	4342	2139
670	4353	2134
671	4358	2127
672	4374	2125
673	4380	2118
674	4386	2112
675	4391	2104
676	4399	2099
677	4404	2091
678	4412	2085
679	4419	2079
680	4424	2072
681	4432	2066
682	4438	2060
683	4444	2053
684	4451	2047
685	4460	2041
686	4468	2035
687	4473	2028
688	4481	2022
689	4486	2015
690	4495	2010
691	4500	2003
692	4506	1996
693	4511	1989
694	4517	1982
695	4522	1975
696	4528	1968
697	4533	1961
698	4539	1954
699	4546	1948
700	4551	1941
701	4559	1935
702	4567	1929
703	4572	1922
704	4578	1915
705	4583	1908
706	4591	1902
707	4595	1895
708	4600	1888
709	4608	1882
710	4613	1875
711	4619	1868
712	4629	1863
713	4634	1856
714	4639	1849
715	4644	1842
716	4649	1835
717	4656	1828
718	4662	1822
719	4667	1815
720	4675	1809
721	4680	1802
722	4685	1795
723	4692	1788
724	4697	1781
725	4702	1774
726	4708	1767
727	4713	1761
728	4718	1754
729	4725	1747
730	4730	1740
731	4737	1734
732	4743	1727
733	4748	1720
734	4755	1714
735	4761	1707
736	4766	1700
737	4771	1693
738	4776	1687
739	4781	1680
740	4789	1673
741	4793	1666
742	4799	1659
743	4806	1653
744	4811	1646
745	4818	1640
746	4823	1633
747	4829	1626
748	4834	1620
749	4839	1613
750	4844	1606
751	4850	1599
752	4856	1592
753	4861	1586
754	4878	1582
755	4894	1579
756	4899	1572
757	4904	1565
758	4909	1558
759	4916	1552
760	4921	1545
761	4927	1539
762	4935	1533
763	4941	1526
764	4946	1519
765	4953	1513
766	4958	1506
767	4964	1499
768	4969	1492
769	4974	1485
770	4979	1478
771	4987	1472
772	4993	1466
773	5001	1460
774	5007	1453
775	5012	1446
776	5021	1441
777	5026	1434
778	5032	1427
779	5038	1421
780	5043	1414
781	5050	1407
782	5055	1401
783	5060	1394
784	5068	1388
785	5073	1381
786	5080	1375
787	5085	1368
788	5091	1361
789	5095	1354
790	5101	1347
791	5106	1340
792	5112	1334
793	5118	1328
794	5123	1321
795	5135	1316
796	5140	1309
797	5161	1306
798	5166	1299
799	5171	1292
800	5178	1286
801	5183	1279
802	5188	1272
803	5195	1266
804	5201	1259
805	5206	1253
806	5212	1246
807	5217	1239
808	5222	1232
809	5227	1226
810	5232	1219
811	5237	1212
812	5244	1206
813	5249	1199
814	5254	1192
815	5263	1186
816	5268	1180
817	5273	1173
818	5279	1166
819	5284	1159
820	5290	1153
821	5295	1146
822	5300	1139
823	5307	1133
824	5312	1126
825	5318	1120
826	5325	1114
827	5330	1107
828	5337	1100
829	5342	1094
830	5347	1087
831	5352	1080
832	5357	1074
833	5362	1067
834	5370	1061
835	5376	1054
836	5381	1047
837	5390	1042
838	5394	1035
839	5405	1029
840	5410	1022
841	5415	1016
842	5420	1009
843	5425	1002
844	5430	996
845	5437	989
846	5442	983
847	5450	976
848	5455	970
849	5460	963
850	5467	957
851	5472	950
852	5477	944
853	5483	937
854	5488	930
855	5493	924
856	5499	917
857	5504	910
858	5510	904
859	5519	898
860	5524	891
861	5529	885
862	5535	878
863	5540	872
864	5545	865
865	5550	858
866	5555	852
867	5562	845
868	5568	839
869	5572	832
870	5579	826
871	5585	819
872	5590	813
873	5596	806
874	5601	800
875	5606	793
876	5611	787
877	5617	780
878	5622	773
879	5627	767
880	5633	760
881	5638	754
882	5648	748
883	5655	742
884	5673	737
885	5678	730
886	5683	724
887	5688	717
888	5695	711
889	5700	704
890	5705	697
891	5713	691
892	5718	685
893	5725	678
894	5730	672
895	5736	665
896	5741	659
897	5746	652
898	5751	646
899	5758	639
900	5763	633
901	5768	626
902	5777	620
903	5782	614
904	5787	607
905	5795	601
906	5800	594
907	5806	588
908	5811	581
909	5816	575
910	5823	568
911	5828	562
912	5833	555
913	5840	549
914	5846	543
915	5851	536
916	5858	530
917	5863	523
918	5868	517
919	5874	510
920	5879	504
921	5884	497
922	5892	491
923	5899	485
924	5911	479
925	5916	472
926	5938	467
927	5944	461
928	5949	454
929	5957	448
930	5963	441
931	5971	435
932	5976	429
933	5981	422
934	5987	416
935	5993	409
936	5998	403
937	6007	397
938	6013	390
939	6022	384
940	6030	378
941	6039	371
942	6044	365
943	6055	359
944	6060	352
945	6066	346
946	6071	339
947	6076	333
948	6082	326
949	6088	320
950	6093	313
951	6100	307
952	6106	301
953	6111	294
954	6117	288
955	6123	281
956	6127	275
957	6133	268
958	6138	262
959	6143	255
960	6150	249
961	6155	243
962	6160	236
963	6171	230
964	6176	224
965	6191	217
966	6196	211
967	6202	205
968	6207	198
969	6212	192
970	6218	185
971	6223	179
972	6231	172
973	6236	166
974	6241	160
975	6249	153
976	6254	147
977	6259	140
978	6265	134
979	6271	127
980	6278	121
981	6284	115
982	6290	108
983	6300	102
984	6306	96
985	6318	89
986	6324	83
987	6330	76
988	6335	70
989	6341	64
990	6350	57
991	6357	51
992	6366	44
993	6371	38
994	6377	32
995	6382	25
996	6387	19
997	6392	12
998	6397	6
999	6402	0
