iter	RMSE
232	1.798539853
233	1.797611121
234	1.796422785
235	1.795030484
236	1.793170508
237	1.791968235
238	1.791302823
239	1.790542651
240	1.789531138
241	1.789067409
242	1.788252772
243	1.786869335
244	1.785636541
245	1.785179907
246	1.783565333
247	1.782214017
248	1.780937309
249	1.780055965
250	1.778976491
251	1.777824233
252	1.776826463
253	1.776275064
254	1.775054077
255	1.774385076
256	1.773542023
257	1.772989241
258	1.771741431
259	1.770488055
260	1.769422016
261	1.76799855
262	1.766555407
263	1.765048936
264	1.764148083
265	1.762543728
266	1.761674573
267	1.760002065
268	1.759723286
269	1.759120184
270	1.758619813
271	1.757958159
272	1.757182906
273	1.756011318
274	1.754992628
275	1.754075172
276	1.753424581
277	1.752886248
278	1.752493553
279	1.751358211
280	1.750282278
281	1.749247087
282	1.748545329
283	1.747658502
284	1.745856851
285	1.744384709
286	1.743971216
287	1.742485642
288	1.741623986
289	1.740623949
290	1.739471981
291	1.738224534
292	1.737229093
293	1.73673727
294	1.735993449
295	1.735247036
296	1.734255588
297	1.7336865
298	1.732596279
299	1.731205541
300	1.730986561
301	1.730212759
302	1.729614177
303	1.728967513
304	1.727962364
305	1.727249433
306	1.726202909
307	1.725378172
308	1.723976218
309	1.723229569
310	1.722503643
311	1.721501307
312	1.720867582
313	1.719508559
314	1.719003402
315	1.717978289
316	1.717539578
317	1.716676345
318	1.716050209
319	1.71468269
320	1.713642318
321	1.71271674
322	1.711899044
323	1.71090074
324	1.710835664
325	1.71018638
326	1.709380092
327	1.708450375
328	1.707879818
329	1.707214635
330	1.706150783
331	1.705161683
332	1.704391961
333	1.703180831
334	1.701981342
335	1.701264128
336	1.700069642
337	1.699789226
338	1.698857484
339	1.698320663
340	1.697361829
341	1.696414258
342	1.695243885
343	1.694520735
344	1.693439481
345	1.692441001
346	1.691641198
347	1.690780867
348	1.689576437
349	1.688860026
350	1.688058828
351	1.686701856
352	1.685850217
353	1.684790629
354	1.683914337
355	1.683127251
356	1.681626115
357	1.680882637
358	1.680284607
359	1.6792804
360	1.678628636
361	1.677969881
362	1.677073455
363	1.676163103
364	1.674792981
365	1.674231157
366	1.673173263
367	1.672571145
368	1.671992801
369	1.670568372
370	1.669923523
371	1.669142633
372	1.667884862
373	1.667354413
374	1.666648601
375	1.665460229
376	1.664053561
377	1.663264954
378	1.66254706
379	1.662021716
380	1.661286142
381	1.661164736
382	1.660370657
383	1.659548989
384	1.658294129
385	1.657333017
386	1.656299104
387	1.655499419
388	1.654375115
389	1.653411353
390	1.652270977
391	1.650995966
392	1.650246132
393	1.649066743
394	1.647928255
395	1.647116405
396	1.645959384
397	1.645036565
398	1.643997634
399	1.642794193
400	1.641693413
401	1.640972965
402	1.640726605
403	1.640164128
404	1.639864124
405	1.639155918
406	1.63882594
407	1.638022816
408	1.637001275
409	1.636166322
410	1.635418052
411	1.634101521
412	1.633203405
413	1.632655635
414	1.63194364
415	1.63083982
416	1.629919573
417	1.629013652
418	1.628608357
419	1.627926536
420	1.627144566
421	1.626119621
422	1.62506248
423	1.624151649
424	1.623026979
425	1.62188747
426	1.621257665
427	1.620530248
428	1.619971311
429	1.619325085
430	1.618523032
431	1.617767409
432	1.617429848
433	1.616582165
434	1.615775639
435	1.61451599
436	1.613716023
437	1.613033548
438	1.612388275
439	1.611976352
440	1.611074636
441	1.610316393
442	1.609877326
443	1.60902415
444	1.608353794
445	1.607931823
446	1.606650217
447	1.605299451
448	1.604111489
449	1.603451022
450	1.60276046
451	1.602046992
452	1.601049387
453	1.600294982
454	1.599103018
455	1.598104971
456	1.597640767
457	1.596745618
458	1.596200709
459	1.595390215
460	1.594614749
461	1.593619812
462	1.592486881
463	1.591325117
464	1.590401903
465	1.589263972
466	1.588644809
467	1.587900569
468	1.587164758
469	1.58615353
470	1.585458492
471	1.584564134
472	1.583541034
473	1.582962116
474	1.581640181
475	1.580982377
476	1.580470794
477	1.579274647
478	1.578572338
479	1.57784136
480	1.576896182
481	1.575867553
482	1.574847489
483	1.573864092
484	1.573074017
485	1.572307454
486	1.571932339
487	1.570414847
488	1.569537145
489	1.569438882
490	1.568479633
491	1.567368703
492	1.566753122
493	1.565841168
494	1.565215536
495	1.564680303
496	1.564298783
497	1.563621844
498	1.562846822
499	1.561686599
500	1.560785081
501	1.560203464
502	1.559374628
503	1.558706124
504	1.558192119
505	1.557503918
506	1.556829557
507	1.556188773
508	1.555698488
509	1.555219531
510	1.554715588
511	1.554261279
512	1.553675767
513	1.552804962
514	1.552098969
515	1.55129848
516	1.550698422
517	1.549846492
518	1.549255033
519	1.548351592
520	1.54783057
521	1.546562398
522	1.546108718
523	1.54536819
524	1.544760176
525	1.543488589
526	1.542952817
527	1.542127292
528	1.540967492
529	1.539905021
530	1.539414302
531	1.53845337
532	1.537939592
533	1.53741724
534	1.536601412
535	1.536059094
536	1.535667742
537	1.535114834
538	1.533882332
539	1.533135906
540	1.53229169
541	1.531519305
542	1.531087704
543	1.530062641
544	1.529275786
545	1.528343367
546	1.527857329
547	1.527298329
548	1.526830364
549	1.526059276
550	1.525551727
551	1.525466366
552	1.524839158
553	1.523699891
554	1.52274661
555	1.522135276
556	1.521939589
557	1.520938996
558	1.520049824
559	1.519427564
560	1.518711871
561	1.51805
562	1.517111751
563	1.516145808
564	1.515276897
565	1.514593932
566	1.514001884
567	1.513324262
568	1.512761977
569	1.512148169
570	1.511754847
571	1.510209112
572	1.50978772
573	1.509114156
574	1.508225846
575	1.507430281
576	1.506504699
577	1.505683164
578	1.505299046
579	1.504677802
580	1.504002001
581	1.503801364
582	1.503333329
583	1.502966101
584	1.502156577
585	1.501392948
586	1.500335154
587	1.499703072
588	1.499268608
589	1.497959349
590	1.497332633
591	1.49655771
592	1.495667377
593	1.495046279
594	1.494129377
595	1.493681735
596	1.492680174
597	1.491774949
598	1.491136151
599	1.49051833
600	1.489481079
601	1.488405554
602	1.487736367
603	1.487280192
604	1.486216202
605	1.48591824
606	1.485215345
607	1.484121037
608	1.483602067
609	1.483061729
610	1.482704203
611	1.482294855
612	1.481290662
613	1.480633503
614	1.480349151
615	1.4797138
616	1.47920223
617	1.478927763
618	1.47832448
619	1.477465105
620	1.476639664
621	1.47607219
622	1.475004878
623	1.473918134
624	1.473577402
625	1.472853906
626	1.472476352
627	1.472374253
628	1.472064883
629	1.471637522
630	1.470813144
631	1.470278253
632	1.46982814
633	1.469290279
634	1.468706187
635	1.468332353
636	1.467824643
637	1.466781926
638	1.465904391
639	1.465319744
640	1.465059372
641	1.464514984
642	1.464115566
643	1.463222314
644	1.462184303
645	1.461789878
646	1.460742808
647	1.460124228
648	1.458952161
649	1.458889138
650	1.458366687
651	1.457568019
652	1.456822655
653	1.455792709
654	1.455036019
655	1.453965426
656	1.452800821
657	1.452136062
658	1.451418497
659	1.450902107
660	1.450496939
661	1.449960598
662	1.449510613
663	1.448757232
664	1.448224415
665	1.447916009
666	1.447463886
667	1.446866216
668	1.446830573
669	1.446325958
670	1.445848766
671	1.445076664
672	1.444396786
673	1.443724364
674	1.442870699
675	1.441704665
676	1.440895637
677	1.440302677
678	1.439557514
679	1.438766191
680	1.438114375
681	1.437493473
682	1.436826141
683	1.436114432
684	1.435218802
685	1.434015302
686	1.433292395
687	1.432781445
688	1.432638991
689	1.431931026
690	1.431185769
691	1.43033692
692	1.429813358
693	1.429132796
694	1.4279348
695	1.427188425
696	1.426348187
697	1.425709293
698	1.424993387
699	1.424341483
700	1.423962553
701	1.423559753
702	1.423012118
703	1.422999069
704	1.422383095
705	1.421868962
706	1.421170003
707	1.420719779
708	1.420086878
709	1.419601831
710	1.418869387
711	1.417621763
712	1.416685756
713	1.416012118
714	1.414921344
715	1.414460065
716	1.413966269
717	1.413233461
718	1.412474082
719	1.41178834
720	1.410979612
721	1.410320372
722	1.409600569
723	1.409132574
724	1.408580289
725	1.407754866
726	1.407329732
727	1.406903778
728	1.406289834
729	1.405770476
730	1.405277104
731	1.404871932
732	1.404678957
733	1.403955072
734	1.403601002
735	1.402960442
736	1.402441091
737	1.401582389
738	1.401195234
739	1.400446005
740	1.400066003
741	1.399756317
742	1.398756655
743	1.397957312
744	1.397815019
745	1.39737154
746	1.396411164
747	1.395380371
748	1.394902197
749	1.394544227
750	1.393842061
751	1.393138574
752	1.39235709
753	1.391587001
754	1.390903828
755	1.389925939
756	1.389232756
757	1.388425355
758	1.387582785
759	1.38678476
760	1.385957695
761	1.385101805
762	1.384602303
763	1.38380919
764	1.383087767
765	1.38229079
766	1.381646761
767	1.38125998
768	1.380550774
769	1.379977905
770	1.379391419
771	1.378363431
772	1.377789359
773	1.377382657
774	1.376766441
775	1.376349592
776	1.376004165
777	1.37525906
778	1.375091915
779	1.374091344
780	1.373619717
781	1.373332081
782	1.372498887
783	1.371785245
784	1.371074562
785	1.371012834
786	1.369813734
787	1.368828005
788	1.36830589
789	1.368018249
790	1.367353297
791	1.366367207
792	1.365907709
793	1.365321937
794	1.364857375
795	1.363934965
796	1.36340925
797	1.363111932
798	1.362489044
799	1.361941527
800	1.361257876
801	1.360531836
802	1.359699493
803	1.359034775
804	1.35860756
805	1.357872503
806	1.357101786
807	1.35673848
808	1.356112567
809	1.355945295
810	1.355442327
811	1.35478988
812	1.353562787
813	1.352926434
814	1.352442353
815	1.352201723
816	1.351613042
817	1.351164965
818	1.350470631
819	1.349997071
820	1.34914033
821	1.348462056
822	1.347785966
823	1.346842121
824	1.346087068
825	1.345436624
826	1.344739314
827	1.343826563
828	1.342981437
829	1.342523694
830	1.341894219
831	1.341326451
832	1.340519401
833	1.339847643
834	1.339310724
835	1.338799598
836	1.338068042
837	1.337540878
838	1.337534074
839	1.337124062
840	1.336952447
841	1.33582929
842	1.335446687
843	1.33480975
844	1.334130552
845	1.333303247
846	1.332550553
847	1.332332758
848	1.331524161
849	1.33106093
850	1.330347301
851	1.329995974
852	1.329347499
853	1.328462304
854	1.328333355
855	1.327623583
856	1.327091205
857	1.326830492
858	1.326516508
859	1.326002095
860	1.324713326
861	1.32408328
862	1.323489361
863	1.322671535
864	1.322625177
865	1.321805505
866	1.321443687
867	1.320790301
868	1.320275539
869	1.319764917
870	1.319097217
871	1.31871803
872	1.318038334
873	1.317538135
874	1.317119884
875	1.316254424
876	1.315387076
877	1.315320091
878	1.314670107
879	1.313945384
880	1.313487679
881	1.312902708
882	1.312381375
883	1.311903853
884	1.311516911
885	1.311178803
886	1.310402997
887	1.309779624
888	1.309148023
889	1.308432735
890	1.307605716
891	1.307036477
892	1.306493915
893	1.306063314
894	1.305161192
895	1.30465465
896	1.304110018
897	1.303533459
898	1.302896447
899	1.301537277
900	1.300755622
901	1.300376807
902	1.299892245
903	1.299714134
904	1.299058837
905	1.29867239
906	1.298139729
907	1.297847046
908	1.297175408
909	1.296768822
910	1.295915699
911	1.295573815
912	1.294694636
913	1.294212
914	1.293833654
915	1.293126554
916	1.29259982
917	1.292053767
918	1.291726
919	1.291190359
920	1.290888027
921	1.290386956
922	1.289737707
923	1.289206771
924	1.288251245
925	1.287775446
926	1.287286551
927	1.287070644
928	1.286682831
929	1.285952482
930	1.285452348
931	1.285388106
932	1.284808239
933	1.284217551
934	1.283824153
935	1.283094208
936	1.282442481
937	1.281890054
938	1.281400488
939	1.280653475
940	1.279913034
941	1.279314332
942	1.278832807
943	1.278310226
944	1.277418763
945	1.276908366
946	1.276261801
947	1.276078203
948	1.275841589
949	1.275381312
950	1.274988861
951	1.27441276
952	1.273581681
953	1.273056647
954	1.272605489
955	1.272135942
956	1.271548295
957	1.270704132
958	1.270441702
959	1.26969307
960	1.26915265
961	1.268623146
962	1.268068613
963	1.267594726
964	1.266785599
965	1.266327201
966	1.265802542
967	1.265145626
968	1.264544326
969	1.264029728
970	1.263249916
971	1.26267896
972	1.261755216
973	1.261375976
974	1.260779772
975	1.259970579
976	1.259548073
977	1.259198175
978	1.258658015
979	1.258110896
980	1.257628279
981	1.257109616
982	1.256423644
983	1.255882068
984	1.25506779
985	1.25444893
986	1.253961959
987	1.25314353
988	1.252943838
989	1.252365045
990	1.25227163
991	1.251843905
992	1.251273222
993	1.251063802
994	1.250305584
995	1.249980775
996	1.249526521
997	1.248928339
998	1.24810015
999	1.247788183
