assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,0,479683,None,,0,0,0,0,0.0,533,196,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Marcus,0.0,541,197,0,0,0,0.0,542,197,11,False,0.0,533,190,0,Season long loan to FC Nantes,2023-08-14T03:57:12.475590Z,45,495,258,0,0,None,0,,479683.jpg,0.0,541,197,0,0,0,Oliveira Alencar,0.1,430,141,False,None,0,0,u,1,3,0.0,503,175,0,819,0,7258,2214,0.0,0.0,Marquinhos,0
1,0,27,None,None,1,0.58,444145,2,,0,0,0,0,49.8,30,21,3,,0,3,4.5,4.5,3,0.26,0.15,0.37,0.21,0.11,1.50,0.88,0.06,Gabriel,4.0,69,24,1,0.58,0,10.0,69,39,12,False,25.4,146,49,154,,None,80,14,9,0,0,4,0,,444145.jpg,4.0,77,26,0,0,0.0,Martinelli Silva,15.2,24,8,False,None,2,1.17,a,1,3,25.0,87,52,8,169284,46528,129812,73527,0.5,1.0,Martinelli,0
1,2,32,None,None,2,1.2,205533,None,,1,-1,1,-1,27.7,82,7,None,,0,4,7.0,7.0,5,0.03,0.02,1.05,0.63,1.02,0.77,0.46,0.61,Eddie,6.5,21,6,0,0.0,1,12.1,47,12,13,False,30.2,121,17,150,,None,56,83,27,0,0,None,0,,205533.jpg,6.5,24,7,0,0,0.0,Nketiah,6.4,56,11,False,None,2,1.2,a,1,3,64.0,22,9,13,286715,118224,57605,31586,1.2,2.3,Nketiah,0
0,3,43,None,None,1,0.5,184029,3,,0,0,0,0,43.2,44,32,1,,0,3,7.0,7.0,11,0.18,0.09,1.12,0.56,0.94,1.98,1.0,0.47,Martin,6.5,23,9,1,0.5,1,14.0,29,20,14,False,56.6,36,11,179,,None,85,9,7,0,0,1,0,,184029.jpg,6.5,26,9,0,0,0.0,Ødegaard,23.0,18,6,False,None,2,1.01,a,1,3,41.0,49,26,13,166088,90999,231202,68769,0.8,1.5,Ødegaard,0
0,0,39,None,None,1,0.5,167199,None,,0,0,0,0,51.7,27,20,None,,0,3,3.0,3.0,3,0.11,0.06,0.18,0.1,0.07,2.24,1.12,0.04,Thomas,2.5,111,39,1,0.5,0,10.9,58,33,15,False,42.4,73,29,180,,None,50,201,127,0,0,None,0,,167199.jpg,2.5,115,42,0,0,0.0,Partey,0.4,252,80,False,None,2,1.0,a,1,3,15.0,124,73,5,4731,1269,10096,3794,0.5,1.0,Thomas,0
0,0,0,None,None,0,0,195735,None,,-1,1,-1,1,0.0,578,233,None,,0,3,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Nicolas,0.0,585,232,0,0,0,0.0,588,234,16,False,0.0,580,228,0,,None,49,290,192,0,0,None,0,,195735.jpg,0.0,585,232,0,0,0,Pépé,0.1,453,154,False,None,0,0,a,1,3,0.0,556,216,0,420,109,2216,715,0.0,0.0,Pepe,0
0,0,35,None,None,1,0.5,225321,None,,0,0,0,0,0.0,624,77,None,,0,1,4.5,4.5,6,0.01,0.0,0.01,0.0,0.00,2.24,1.12,0.0,Aaron,4.0,62,10,1,0.5,0,2.8,225,19,17,False,28.0,133,19,180,,None,50,233,10,0,0,None,0,,225321.jpg,4.0,70,10,0,3,1.5,Ramsdale,17.7,22,4,False,None,2,1.0,a,1,3,0.0,612,76,8,77635,32131,141996,50040,0.8,1.6,Ramsdale,0
0,0,0,0,None,0,0,115918,None,,0,0,0,0,0.0,333,20,None,,0,1,0.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Rúnar Alex,0.0,351,37,0,0,0,0.0,357,37,18,False,0.0,347,37,0,Season long loan to Crystal Palace,2023-08-20T06:33:02.960208Z,40,587,48,0,0,None,0,,115918.jpg,0.0,351,37,0,0,0,Rúnarsson,0.2,345,53,False,None,0,0,u,1,3,0.0,275,18,0,990,96,3294,1707,0.0,0.0,Rúnarsson,0
0,3,52,None,None,1,0.51,223340,1,,0,0,1,-1,76.5,13,10,None,,1,3,7.0,7.0,3,0.28,0.14,0.63,0.32,0.35,1.98,1.0,0.18,Bukayo,6.5,24,10,1,0.51,1,21.0,10,6,19,False,64.4,20,7,178,,None,86,7,5,0,0,2,0,,223340.jpg,6.5,27,10,0,0,0.0,Saka,66.4,2,1,False,None,2,1.01,a,1,3,69.0,18,10,13,612007,138432,78407,51763,0.8,1.5,Saka,0
1,2,51,None,None,1,0.5,462424,None,,0,0,1,-1,14.8,144,40,None,,0,2,7.0,7.0,8,0.04,0.02,0.04,0.02,0.00,2.24,1.12,0.0,William,6.5,20,6,1,0.5,0,7.8,98,23,20,False,61.2,24,5,180,,None,51,158,17,0,0,None,0,,462424.jpg,6.5,23,8,0,0,0.0,Saliba,25.6,11,4,False,None,2,1.0,a,1,3,2.0,236,80,13,592121,271325,72735,31238,1.3,2.5,Saliba,0
