Ast_4,CrdR_4,CrdY_4,DEF,FPL_points,FPL_pos,FWD,GW,Gls_4,MID,Min_4,Name_original,Opp_rating,Opponent,Rating_difference,Season,Sh_4,SoT_4,Team,Team_CS_4,Team_rating,Was_home,xA_4,xG_4
0.0,0.0,0.25,1,1.0,DEF,0,32,0.25,0,81.5,Aaron Cresswell,1692.43615723,Brentford,1.0759091047075409,2021-22,0.5,0.25,West Ham,0.0,1820.9074707,0.0,0.05,0.05
0.0,0.0,0.25,1,2.0,DEF,0,33,0.25,0,81.5,Aaron Cresswell,1686.96911621,Burnley,1.0853106927252631,2021-22,0.75,0.25,West Ham,0.0,1830.88562012,1.0,0.05,0.05
0.0,0.0,0.25,1,2.0,DEF,0,34,0.25,0,90.0,Aaron Cresswell,1924.4588623,Chelsea,0.9488446268930153,2021-22,1.0,0.25,West Ham,0.0,1826.01245117,0.0,0.05,0.07500000000000001
0.0,0.0,0.25,1,0.0,DEF,0,35,0.25,0,90.0,Aaron Cresswell,1873.87609863,Arsenal,0.9664337861900338,2021-22,1.0,0.25,West Ham,0.0,1810.97717285,1.0,0.025,0.07500000000000001
0.0,0.0,0.25,1,1.0,DEF,0,38,0.0,0,90.0,Aaron Cresswell,1751.63110352,Brighton,1.0264400605395343,2021-22,0.0,0.0,West Ham,0.25,1797.94433594,0.0,0.15,0.0
0.0,0.0,0.25,1,1.0,DEF,0,1,0.0,0,90.0,Aaron Cresswell,2025.36242676,Manchester City,0.8804424651752988,2022-23,0.5,0.0,West Ham,0.25,1783.21508789,1.0,0.15,0.025
0.0,0.0,0.0,1,2.0,DEF,0,2,0.0,0,90.0,Aaron Cresswell,1607.05310059,Nott'ham Forest,1.1065198812641308,2022-23,0.5,0.0,West Ham,0.25,1778.23620605,0.0,0.175,0.025
0.0,0.0,0.0,1,0.0,DEF,0,3,0.0,0,90.0,Aaron Cresswell,1769.58862305,Brighton,0.999164072355161,2022-23,0.75,0.0,West Ham,0.0,1768.109375,1.0,0.125,0.025
0.0,0.0,0.25,1,6.0,DEF,0,4,0.0,0,90.0,Aaron Cresswell,1725.07617188,Aston Villa,1.0182725881638304,2022-23,1.0,0.0,West Ham,0.0,1756.59777832,0.0,0.2,0.05
0.0,0.0,0.25,1,2.0,DEF,0,5,0.0,0,90.0,Aaron Cresswell,1882.92175293,Tottenham,0.9375029781418778,2022-23,0.75,0.0,West Ham,0.25,1765.24475098,1.0,0.2,0.025
0.0,0.0,0.25,1,2.0,DEF,0,8,0.0,0,85.25,Aaron Cresswell,1688.73352051,Everton,1.0413671140955991,2022-23,0.75,0.0,West Ham,0.25,1758.59155273,0.0,0.175,0.025
0.0,0.0,0.25,1,5.0,DEF,0,9,0.0,0,85.0,Aaron Cresswell,1703.78894043,Wolves,1.027208429852996,2022-23,0.75,0.0,West Ham,0.25,1750.1463623,1.0,0.1,0.025
0.0,0.0,0.25,1,2.0,DEF,0,10,0.0,0,85.0,Aaron Cresswell,1655.76269531,Fulham,1.0685739052954941,2022-23,0.5,0.0,West Ham,0.5,1769.30480957,1.0,0.025,0.0
0.0,0.0,0.25,1,3.0,DEF,0,11,0.0,0,85.0,Aaron Cresswell,1666.67346191,Southampton,1.0700443677408862,2022-23,0.25,0.0,West Ham,0.25,1783.41455078,0.0,0.07500000000000001,0.0
0.0,0.0,0.25,1,2.0,DEF,0,12,0.0,0,89.75,Aaron Cresswell,1996.97229004,Liverpool,0.8922117020784057,2022-23,0.25,0.0,West Ham,0.25,1781.7220459,0.0,0.2,0.0
0.0,0.0,0.25,1,8.0,DEF,0,13,0.0,0,90.0,Aaron Cresswell,1654.10632324,Bournemouth,1.0762057967308252,2022-23,0.0,0.0,West Ham,0.25,1780.15881348,1.0,0.275,0.0
0.0,0.0,0.0,1,2.0,DEF,0,14,0.0,0,90.0,Aaron Cresswell,1838.08410645,Manchester Utd,0.97109868547713,2022-23,0.25,0.25,West Ham,0.25,1784.96105957,0.0,0.325,0.0
0.0,0.0,0.0,1,1.0,DEF,0,15,0.0,0,90.0,Aaron Cresswell,1764.66088867,Crystal Palace,1.0151888109279745,2022-23,0.25,0.25,West Ham,0.25,1791.46398926,1.0,0.275,0.0
0.0,0.0,0.0,1,1.0,DEF,0,16,0.0,0,90.0,Aaron Cresswell,1772.73132324,Leicester City,1.004857661179169,2022-23,0.25,0.25,West Ham,0.25,1781.34265137,1.0,0.15000000000000002,0.0
0.0,0.0,0.0,1,1.0,DEF,0,17,0.0,0,90.0,Aaron Cresswell,1921.22827148,Arsenal,0.9202815454552848,2022-23,0.25,0.25,West Ham,0.25,1768.07092285,0.0,0.125,0.0
0.0,0.0,0.0,1,1.0,DEF,0,18,0.0,0,90.0,Aaron Cresswell,1741.99902344,Brentford,1.0120635948856627,2022-23,0.0,0.0,West Ham,0.0,1763.01379395,1.0,0.075,0.0
0.0,0.0,0.0,1,1.0,DEF,0,19,0.0,0,90.0,Aaron Cresswell,1712.96166992,Leeds United,1.0213824512148661,2022-23,0.25,0.0,West Ham,0.0,1749.58898926,0.0,0.075,0.0
0.0,0.0,0.0,1,2.0,DEF,0,20,0.0,0,73.25,Aaron Cresswell,1689.21459961,Wolves,1.0356545281007548,2022-23,0.25,0.0,West Ham,0.0,1749.44274902,0.0,0.075,0.0
0.0,0.0,0.0,1,0.0,DEF,0,21,0.0,0,73.25,Aaron Cresswell,1675.31408691,Everton,1.03888190567307,2022-23,0.5,0.0,West Ham,0.0,1740.45349121,1.0,0.0,0.0
0.0,0.0,0.0,1,0.0,DEF,0,22,0.0,0,50.75,Aaron Cresswell,1855.40490723,Newcastle Utd,0.9422770270291607,2022-23,0.5,0.0,West Ham,0.25,1748.30541992,0.0,0.0,0.0
0.0,0.0,0.0,1,0.0,DEF,0,24,0.0,0,28.25,Aaron Cresswell,1847.14562988,Tottenham,0.9486473435415257,2022-23,0.25,0.0,West Ham,0.25,1752.28979492,0.0,0.0,0.0
0.0,0.0,0.0,1,1.0,DEF,0,25,0.0,0,22.5,Aaron Cresswell,1660.01977539,Nott'ham Forest,1.0506874020944914,2022-23,0.25,0.0,West Ham,0.25,1744.16186523,1.0,0.0,0.0
0.0,0.0,0.0,1,0.0,DEF,0,26,0.0,0,11.25,Aaron Cresswell,1809.08996582,Brighton,0.9696964217115919,2022-23,0.0,0.0,West Ham,0.5,1754.26806641,0.0,0.025,0.0
0.0,0.0,0.0,1,0.0,DEF,0,27,0.0,0,11.25,Aaron Cresswell,1762.72497559,Aston Villa,0.9930110594388801,2022-23,0.0,0.0,West Ham,0.25,1750.40539551,1.0,0.025,0.0
0.0,0.0,0.0,1,1.0,DEF,0,29,0.0,0,11.25,Aaron Cresswell,1662.04260254,Southampton,1.055771335703634,2022-23,0.0,0.0,West Ham,0.25,1754.73693848,1.0,0.025,0.0
0.0,0.0,0.0,1,0.0,DEF,0,7,0.0,0,12.0,Aaron Cresswell,1857.84570312,Newcastle Utd,0.9469208261674298,2022-23,0.0,0.0,West Ham,0.5,1759.23278809,1.0,0.025,0.0
0.0,0.0,0.0,1,8.0,DEF,0,30,0.0,0,0.75,Aaron Cresswell,1722.58276367,Fulham,1.0131320794722254,2022-23,0.0,0.0,West Ham,0.25,1745.20385742,0.0,0.0,0.0
0.0,0.0,0.0,1,0.0,DEF,0,31,0.0,0,23.25,Aaron Cresswell,1957.52404785,Arsenal,0.8963128483693841,2022-23,0.0,0.0,West Ham,0.5,1754.55395508,1.0,0.025,0.0
0.0,0.0,0.25,1,12.0,DEF,0,32,0.0,0,45.75,Aaron Cresswell,1674.96496582,Bournemouth,1.0507256120478945,2022-23,0.25,0.0,West Ham,0.5,1759.92858887,0.0,0.1,0.0
0.25,0.0,0.25,1,1.0,DEF,0,33,0.0,0,67.5,Aaron Cresswell,1931.59973145,Liverpool,0.9184443047774995,2022-23,0.5,0.0,West Ham,0.5,1774.06677246,1.0,0.24999999999999997,0.0
0.25,0.0,0.25,1,1.0,DEF,0,34,0.0,0,90.0,Aaron Cresswell,1744.765625,Crystal Palace,1.013805103433305,2022-23,0.5,0.0,West Ham,0.5,1768.85229492,0.0,0.27499999999999997,0.0
0.25,0.0,0.25,1,1.0,DEF,0,28,0.0,0,78.75,Aaron Cresswell,2069.55444336,Manchester City,0.8510669295756313,2022-23,0.5,0.0,West Ham,0.25,1761.3293457,0.0,0.24999999999999997,0.0
0.25,0.0,0.0,1,6.0,DEF,0,35,0.0,0,78.75,Aaron Cresswell,1852.83996582,Manchester Utd,0.9492316251995514,2022-23,0.25,0.0,West Ham,0.25,1758.77429199,1.0,0.17499999999999996,0.0
0.0,0.0,0.0,1,0.0,DEF,0,36,0.0,0,78.5,Aaron Cresswell,1782.35986328,Brentford,0.9936102039522807,2022-23,0.0,0.0,West Ham,0.25,1770.97094727,0.0,0.049999999999999975,0.0
0.0,0.0,0.0,1,0.0,DEF,0,37,0.0,0,56.0,Aaron Cresswell,1674.14050293,Leeds United,1.0591144053541472,2022-23,0.0,0.0,West Ham,0.25,1773.10632324,1.0,0.024999999999999974,0.0
0.0,0.0,0.0,1,1.0,DEF,0,38,0.0,0,44.75,Aaron Cresswell,1716.05786133,Leicester City,1.0368603635258404,2022-23,0.0,0.0,West Ham,0.25,1779.31237793,0.0,0.024999999999999974,0.0
