,index,Date,Day,Comp,Round,Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Name,Season,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,WDL,GoalsTeams,Team Score,Opp Score,CS,Was Home,GW
697,1,2023-08-21,Mon,Premier League,Matchweek 2,Home,Crystal Palace,Arsenal,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,John-Kymani-Gordon,2023-24,0,0,0,0,0,0,0,0,L,0–1,0,1,0.0,1.0,2
698,2,2023-08-26,Sat,Premier League,Matchweek 3,Away,Crystal Palace,Brentford,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,John-Kymani-Gordon,2023-24,0,0,0,0,0,0,0,0,D,1–1,1,1,0.0,0.0,3
699,3,2023-08-29,Tue,EFL Cup,Second round,Away,Crystal Palace,Plymouth Argyle,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,John-Kymani-Gordon,2023-24,0,0,0,0,0,0,0,0,W,4–2,4,2,0.0,0.0,round
700,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,Aston Villa,Newcastle Utd,Y*,"LW,AM",63.0,0.0,0.0,0,0,0.0,0.0,0,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,18.0,72.2,1.0,16.0,0.0,2.0,0.0,Match Report,John-McGinn,2023-24,,,,,,,,,L,1–5,1,5,0.0,0.0,1
701,1,2023-08-20,Sun,Premier League,Matchweek 2,Home,Aston Villa,Everton,Y*,"LW,AM",90.0,1.0,0.0,0,0,1.0,1.0,0,0,43.0,1.0,0.0,0.0,0.6,0.6,0.0,3.0,0.0,24.0,30.0,80.0,9.0,33.0,4.0,7.0,4.0,Match Report,John-McGinn,2023-24,,,,,,,,,W,4–0,4,0,1.0,1.0,2
702,2,2023-08-23,Wed,Conf Lg,Play-off round,Away,eng Aston Villa,sct Hibernian,Y*,CM,90.0,0.0,0.0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report,John-McGinn,2023-24,,,,,,,,,W,5–0,5,0,1.0,0.0,round
703,3,2023-08-27,Sun,Premier League,Matchweek 3,Away,Aston Villa,Burnley,Y*,AM,90.0,0.0,0.0,0,0,0.0,0.0,0,0,43.0,1.0,0.0,1.0,0.0,0.0,0.3,4.0,1.0,30.0,38.0,78.9,8.0,21.0,1.0,3.0,2.0,Match Report,John-McGinn,2023-24,,,,,,,,,W,3–1,3,1,0.0,0.0,3
704,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,Luton Town,Brighton,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,John-Mcatee,2023-24,0,0,0,0,0,0,0,0,L,1–4,1,4,0.0,0.0,1
705,1,2023-08-26,Sat,League One,Matchweek 5,Away,Barnsley,Wigan Athletic,N,,26.0,1.0,0.0,0,0,4,2,0,0,,,0,,,,,,,,,,,,,,,Match Report,John-Mcatee,2023-24,0,0,0,1,0,0,,,W,2–0,2,0,1.0,0.0,5
706,0,2023-08-26,Sat,Premier League,Matchweek 3,Away,Wolves,Everton,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Jonny-Castro,2023-24,0,0,0,0,0,0,0,0,W,1–0,1,0,1.0,0.0,3
707,1,2023-08-29,Tue,EFL Cup,Second round,Home,Wolves,Blackpool,Y,RM,90.0,0.0,0.0,0,0,1,1,0,0,,,1,,,,,,,,,,,,,,,Match Report,Jonny-Castro,2023-24,0,3,0,0,1,0,,,W,5–0,5,0,1.0,1.0,round
708,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,Crystal Palace,Sheffield Utd,Y,RW,90.0,0.0,1.0,0,0,2,1,0,0,61.0,1.0,1,4.0,0.1,0.1,0.7,4.0,1.0,34.0,46.0,73.9,1.0,38.0,4.0,4.0,1.0,Match Report,Jordan-Ayew,2023-24,,,,,,,,,W,1–0,1,0,1.0,0.0,1
709,1,2023-08-21,Mon,Premier League,Matchweek 2,Home,Crystal Palace,Arsenal,Y,RW,90.0,0.0,0.0,0,0,3,0,1,0,37.0,2.0,0,0.0,0.1,0.1,0.0,3.0,0.0,17.0,23.0,73.9,2.0,22.0,4.0,6.0,1.0,Match Report,Jordan-Ayew,2023-24,,,,,,,,,L,0–1,0,1,0.0,1.0,2
710,2,2023-08-26,Sat,Premier League,Matchweek 3,Away,Crystal Palace,Brentford,Y,RW,90.0,0.0,1.0,0,0,5,1,0,0,54.0,2.0,0,0.0,0.2,0.2,0.1,6.0,1.0,29.0,35.0,82.9,2.0,40.0,5.0,7.0,4.0,Match Report,Jordan-Ayew,2023-24,,,,,,,,,D,1–1,1,1,0.0,0.0,3
