FPL_points,FPL_points_2,FPL_points_4,FPL_pos,GW,Min_2,Min_4,Name_original,Opp_rating,Opp_score_2,Opp_score_4,Opponent,Player_CS_2,Player_CS_4,Saves_2,Saves_4,Season,Start_2,Start_4,Team,Team_rating,Team_result_2,Team_result_4,Was_home
1.0,5.5,3.75,GK,27,90.0,90.0,Aaron Ramsdale,2020.40649414,1.0,1.0,Liverpool,0.5,0.25,4.0,2.5,2021-22,1.0,1.0,Arsenal,1882.88427734,3.0,3.0,1.0
1.0,5.0,3.5,GK,31,90.0,90.0,Aaron Ramsdale,1747.83911133,1.0,1.25,Crystal Palace,0.5,0.25,2.0,2.5,2021-22,1.0,1.0,Arsenal,1886.86914062,1.5,2.25,0.0
1.0,1.0,3.25,GK,32,90.0,90.0,Aaron Ramsdale,1694.42004395,2.5,1.75,Brighton,0.0,0.25,1.5,2.75,2021-22,1.0,1.0,Arsenal,1864.68530273,0.0,1.5,1.0
2.0,1.0,3.0,GK,33,90.0,90.0,Aaron Ramsdale,1715.02844238,2.5,1.75,Southampton,0.0,0.25,1.5,1.75,2021-22,1.0,1.0,Arsenal,1860.79150391,0.0,0.75,0.0
1.0,1.5,1.25,GK,25,90.0,90.0,Aaron Ramsdale,1940.58337402,1.5,2.0,Chelsea,0.0,0.0,1.5,1.5,2021-22,1.0,1.0,Arsenal,1850.14147949,0.0,0.0,0.0
3.0,1.5,1.25,GK,34,90.0,90.0,Aaron Ramsdale,1855.44787598,1.5,2.0,Manchester Utd,0.0,0.0,1.0,1.25,2021-22,1.0,1.0,Arsenal,1866.26599121,1.5,0.75,1.0
2.0,2.0,1.75,GK,35,90.0,90.0,Aaron Ramsdale,1810.97717285,1.5,1.5,West Ham,0.0,0.0,2.0,1.75,2021-22,1.0,1.0,Arsenal,1873.87609863,3.0,1.5,0.0
2.0,2.5,2.0,GK,36,90.0,90.0,Aaron Ramsdale,1707.0604248,1.0,1.25,Leeds United,0.0,0.0,3.0,2.0,2021-22,1.0,1.0,Arsenal,1871.27770996,3.0,2.25,1.0
2.0,2.0,2.0,GK,22,90.0,90.0,Aaron Ramsdale,1847.00109863,1.0,1.25,Tottenham,0.0,0.0,1.5,1.75,2021-22,1.0,1.0,Arsenal,1874.54968262,3.0,3.0,0.0
2.0,2.0,2.25,GK,38,90.0,90.0,Aaron Ramsdale,1709.81860352,2.0,1.5,Everton,0.0,0.0,2.0,2.5,2021-22,1.0,1.0,Arsenal,1847.05114746,1.5,2.25,1.0
