fbref_id,Name
a8c0acb7,Kristoffer Ajer
8df7a2fb,Ben Mee
215f3907,Mikkel Damsgaard
41f08ac8,Keane Lewis-Potter
2944f86f,Frank Onyeka
57c94db2,Mads Roerslev
2886c9b5,Shandon Baptiste
60344e4f,Josh Dasilva
cdd70dc0,Michael Olakigbe
0db5d2c8,Mathias Jørgensen
e827567f,Ellery Balcombe
c2c5ecda,Ethan Brierley
f7b1d4e0,Saman Ghoddos
339fe0e8,Thomas Strakosha
907a5d7c,Yehor Yarmoliuk
700783e7,Levi Colwill
ad82197c,Axel Disasi
5ff4ab71,Enzo Fernández
6a713852,Robert Sánchez
86e7deaf,Thiago Silva
9c36ed83,Nicolas Jackson
b400bde0,Raheem Sterling
c2731c10,Conor Gallagher
d2424d1b,Ben Chilwell
d56b9520,Malo Gusto
16264a81,Moisés Caicedo
b2f9c73e,Carney Chukwuemeka
1265a93a,Reece James
049a888d,Mykhailo Mudryk
bf34eebd,Noni Madueke
cab9634e,Ian Maatsen
dc7f8a28,Cole Palmer
dab84ad2,Mason Burstow
1df4a109,Lesley Ugochukwu
7cbd6d68,Eddie Beach
b59c2a92,Lucas Bergström
1daec722,Marc Cucurella
d2b32e91,Bashir Humphreys
12de1b0d,Diego Moreira
0cf321c8,Đorđe Petrović
dd745366,Andrey Santos
95bd120d,Deivid Washington
e34fc66d,Joachim Andersen
da052c14,Jordan Ayew
ce4f40c7,Cheick Doucouré
ae4fc6a4,Eberechi Eze
9e5708be,Sam Johnstone
9b5ce51a,Jefferson Lerma
5cbd1eb0,Tyrick Mitchell
d0706b27,Marc Guéhi
8a7ff278,Joel Ward
0562b7f1,Odsonne Édouard
3312f911,Jeffrey Schlupp
50e6dc35,Jean-Philippe Mateta
a6c58494,Naouirou Ahamada
45685411,Jesuran Rak Sakyi
a0666d3e,Will Hughes
e7ca0439,James Tomkins
0442183b,Nathaniel Clyne
d7e24aa1,John-Kymani Gordon
e5a76dfe,Dean Henderson
27f4f772,Remi Matthews
0a3d6d2b,Chris Richards
7a1f2c08,Jaïro Riedewald
a712ca2b,Issa Diop
2628fd2b,Bernd Leno
289601e6,Antonee Robinson
77d7c96f,Kenny Tete
c6dc9ecd,Harry Wilson
b561db50,Raúl Jiménez
0f7533cd,Bobby Reid
803ae100,Harrison Reed
6639e500,Andreas Pereira
c6e8cf1f,Saša Lukić
28b40c9c,Tim Ream
a8748947,Tom Cairney
a78ff07f,João Palhinha
a36524bf,Calvin Bassey
8b9ebd03,Willian
8c3078cd,Luke Harris
9a28eba4,Adama Traoré
3925dbd6,Aleksandar Mitrović
197640fd,Timothy Castagne
a755db8c,Rodrigo Muniz
c81d773d,Tosin Adarabioyo
17acc2ed,Marek Rodák
979cb300,Matt Dibley-Dias
6722d4f0,Tyrese Francois
493924a7,Kevin Mbabu
b2626673,Jay Stansfield
8b529245,Carlos Vinícius
b2d31e83,Dan Burn
4b40d9ca,Nick Pope
c8aa95da,Fabian Schär
21512407,Kieran Trippier
82518f62,Bruno Guimarães
862a1c15,Miguel Almirón
c17bfb65,Joelinton
2bd83368,Anthony Gordon
0db169ae,Sandro Tonali
8e92be30,Alexander Isak
ccce7025,Sven Botman
e514ab62,Matt Targett
c596fcb0,Callum Wilson
3ea50f67,Harvey Barnes
a2b105e0,Sean Longstaff
de31038e,Elliot Anderson
450ab6fc,Jamaal Lascelles
afed6722,Valentino Livramento
de112b84,Jacob Murphy
3a949a25,Martin Dúbravka
da011f18,Lewis Hall
71ef519e,Matt Ritchie
32f60ed8,Morgan Gibbs-White
4a51ba65,Matt Turner
5c2b4f07,Serge Aurier
