,fbref_id,Name
0,2f965a72,Alphonse Areola
1,79c84d1c,Jarrod Bowen
2,fdf3cb77,Vladimír Coufal
3,e0bc6fdc,Emerson Palmieri
4,ce4246f5,Kurt Zouma
5,9b6f7fd5,Lucas Paquetá
6,ac05f970,Michail Antonio
7,5a04fd92,Saïd Benrahma
8,3515d404,James Ward-Prowse
9,288e1e13,Nayef Aguerd
10,6613c819,Tomáš Souček
11,8b3ab7ad,Edson Álvarez
12,82927de4,Pablo Fornals
13,74b2cd7e,Angelo Ogbonna
14,07802f7f,Danny Ings
15,51dbeea9,Thilo Kehrer
16,beb391dd,Maxwel Cornet
17,b62878a5,Kudus Mohammed
18,21a866b7,Joseph Anang
19,a5ca9127,Conor Coventry
20,4f974391,Aaron Cresswell
21,9328b835,Łukasz Fabiański
22,9319781b,Ben Johnson
23,92868cb5,Divin Mubama
