,fbref_id,Name
0,399e9474,Amari'i Bell
1,1caa93a5,Thomas Kaminski
2,2da834f1,Carlton Morris
3,de5b5570,Marvelous Nakamba
4,73b1d65b,Ryan John Giles
5,2696b6a9,Tahith Chong
6,0480ebc7,Elijah Adebayo
7,37118440,Tom Lockyer
8,f098c03e,Mads Juel Andersen
9,a681b7b7,Reece Burke
10,c066d1a5,Issa Kaboré
11,3a24769f,Ross Barkley
12,bf33b257,Alfie Doughty
13,a9b1c319,Pelly Ruddock Mpanzu
14,ca18c8f1,Jacob Brown
15,788c0277,Chiedozie Ogbene
16,d3085b49,Cauley Woodrow
17,2aaadf33,Luke Berry
18,858409be,Allan Campbell
19,38c29201,Aidan Francis
20,d9e7c4da,Joseph Johnson
21,f23f9d20,Tim Krul
22,5c42b6b6,John Mcatee
23,ee7c0a5e,James Shea
