,fbref_id,Name
0,a712ca2b,Issa Diop
1,2628fd2b,Bernd Leno
2,289601e6,Antonee Robinson
3,77d7c96f,Kenny Tete
4,c6dc9ecd,Harry Wilson
5,b561db50,Raúl Jiménez
6,0f7533cd,Bobby Reid
7,803ae100,Harrison Reed
8,6639e500,Andreas Pereira
9,c6e8cf1f,Saša Lukić
10,28b40c9c,Tim Ream
11,a8748947,Tom Cairney
12,a78ff07f,João Palhinha
13,a36524bf,Calvin Bassey
14,8b9ebd03,Willian
15,8c3078cd,Luke Harris
16,9a28eba4,Adama Traoré
17,3925dbd6,Aleksandar Mitrović
18,197640fd,Timothy Castagne
19,a755db8c,Rodrigo Muniz
20,c81d773d,Tosin Adarabioyo
21,17acc2ed,Marek Rodák
22,979cb300,Matt Dibley-Dias
23,6722d4f0,Tyrese Francois
24,493924a7,Kevin Mbabu
25,b2626673,Jay Stansfield
26,8b529245,Carlos Vinícius
