,fbref_id,Name
0,828657ff,Amadou Onana
1,230f0471,Nathan Patterson
2,4806ec67,Jordan Pickford
3,be927d03,Ashley Young
4,02b29014,Abdoulaye Doucouré
5,15ea812b,James Tarkowski
6,4e015693,James Garner
7,72c812f3,Idrissa Gana Gueye
8,f08490a6,Arnaut Danjuma
9,c5b7c315,Michael Keane
10,c1949191,Jarrad Branthwaite
11,6ca5ec4b,Alex Iwobi
12,e814e1cf,Lewis Dobbin
13,4bcf39f6,Neal Maupay
14,ed5c0319,Beto
15,59e6e5bf,Dominic Calvert-Lewin
16,890f108d,Youssef Chermiti
17,fc15fb84,Dwight McNeil
18,4506aec5,Thomas Cannon
19,9f7c837d,Ben Godfrey
20,d86a1f3e,Tyler Onyango
21,1961b2aa,André Gomes
22,165cf989,Andy Lonergan
23,30d4a2e5,Vitaliy Mykolenko
24,728e9b2e,João Virgínia
