,fbref_id,Name
0,a92ab7be,Mark Flekken
1,8a3c1dc7,Rico Henry
2,6afaebf2,Bryan Mbeumo
3,e541326e,Ethan Pinnock
4,8449d35e,Vitaly Janelt
5,df0a4c90,Christian Nørgaard
6,2500cef9,Yoane Wissa
7,1780bb4a,Aaron Hickey
8,0f134faf,Mathias Jensen
9,a8c19eb8,Nathan Collins
10,52afb588,Kevin Schade
11,a8c0acb7,Kristoffer Ajer
12,8df7a2fb,Ben Mee
13,215f3907,Mikkel Damsgaard
14,41f08ac8,Keane Lewis-Potter
15,2944f86f,Frank Onyeka
16,57c94db2,Mads Roerslev
17,2886c9b5,Shandon Baptiste
18,60344e4f,Josh Dasilva
19,cdd70dc0,Michael Olakigbe
20,0db5d2c8,Mathias Jørgensen
21,e827567f,Ellery Balcombe
22,c2c5ecda,Ethan Brierley
23,f7b1d4e0,Saman Ghoddos
24,339fe0e8,Thomas Strakosha
25,907a5d7c,Yehor Yarmoliuk
