,fbref_id,Name
0,0ad53bdc,Milos Kerkez
1,a9dc785c,Neto
2,e77dc3b2,Dominic Solanke
3,88968486,Illia Zabarnyi
4,d328a254,Philip Billing
5,774cf58b,Max Aarons
6,26ce2263,Ryan Christie
7,35141f4c,Marcos Senesi
8,efd2ec23,Antoine Semenyo
9,10a10454,Joe Rothwell
10,4c3a6744,Justin Kluivert
11,e4238fb1,Jaidon Anthony
12,dc4cae05,David Brooks
13,2afc7272,Lewis Cook
14,f31def1e,Lloyd Kelly
15,01ce9e70,Kieffer Moore
16,570bb4b9,Hamed Junior Traorè
17,fed96827,Chris Mepham
18,5c0da4a4,Marcus Tavernier
19,69942fb3,James Hill
20,7eda24fe,Ben Greenwood
21,3eeda7dd,Gavin Kilkenny
22,67f649be,Ionuț Radu
23,20b104bc,Adam Smith
