,fbref_id,Name
0,f6d7d690,Josh Cullen
1,93e08bce,Ameen Al-Dakhil
2,1d042188,Dara O'Shea
3,24fae784,Connor Roberts
4,259fea27,James Trafford
5,f84a807c,Lyle Foster
6,d0b6129f,Sander Berge
7,2ee5b0c9,Zeki Amdouni
8,fc076f78,Luca Koleosho
9,9af1f9ff,Jordan Beyer
10,b737f944,Hannes Delcroix
11,f72293fc,Jóhann Berg Guðmundsson
12,9295dc1c,Vitinho
13,d7f99582,Benson Manuel
14,4e204552,Jacob Bruun Larsen
15,ab651565,Nathan Redmond
16,47369df8,Josh Brownhill
17,07d65234,Anass Zaroury
18,e1618c22,Aaron Ramsey
19,74e12f1e,Jack Cork
20,4ab53cdb,Jay Rodriguez
21,3d554589,Hjalmar Ekdal
22,99aa1a84,Arijanet Muric
23,35516eac,Wilson Odobert
