,fbref_id,Name
0,eab957a3,Anel Ahmedhodzic
1,96cf7b61,Wes Foderingham
2,43439614,Oliver Norwood
3,7399c7a8,Jack Robinson
4,debe38a0,John Egan
5,77816c91,Bénie Adama Traore
6,eebacc07,Gustavo Hamer
7,394854c4,George Baldock
8,6a8a7af8,Vinicius Souza
9,7b355808,William Osula
10,79bc4c45,Ben Osborn
11,7af88b33,Max Lowe
12,0ed063d6,Yasser Larouci
13,1aa84968,Chris Basham
14,78b8ac63,Oliver McBurnie
15,05e8ca6d,Cameron Archer
16,fc027d02,Luke Thomas
17,5f346071,Andre Brooks
18,ae5019e6,Jayden Bogle
19,a7588cdc,Antwoine Hackford
20,9ade9ce1,Anis Ben Slimane
21,d33e3242,Ismaila Cheick Coulibaly
22,71894777,Adam Davies
23,9228b07c,Tom Davies
24,7923301c,Louie Marsh
25,e4e0deaa,Femi Seriki
26,cddf767b,Auston Trusty
