,fbref_id,Name
0,32f60ed8,Morgan Gibbs-White
1,4a51ba65,Matt Turner
2,5c2b4f07,Serge Aurier
3,a4ac4b8f,Willy Boly
4,a5212312,Joe Worrall
5,4e5a4cbc,Scott McKenna
6,a816dbfb,Danilo
7,c1fe2a48,Ryan Yates
8,e5478b87,Taiwo Awoniyi
9,0cd31129,Brennan Johnson
10,246d153b,Ola Aina
11,a572e291,Orel Mangala
12,dd323728,Neco Williams
13,2fba6108,Anthony Elanga
14,4e9a0555,Chris Wood
15,8d3c902d,Cheikhou Kouyaté
16,00242715,Moussa Niakhate
17,374d5158,Gonzalo Montiel
18,a65c844b,Nuno Tavares
19,938fa024,Brandon Aguilera
20,51a3c4c8,Felipe
21,98d2c2c4,Remo Freuler
22,3f65d5ce,Ethan Horvath
23,089667a5,Lewis O'Brien
24,a105d46a,Harry Toffolo
25,a2d873dd,Hwang Ui-jo
