,fbref_id,Name
0,4d224fe8,Casemiro
1,507c7bdf,Bruno Fernandes
2,e9c0c1b2,André Onana
3,a1d5bd30,Marcus Rashford
4,9e525177,Aaron Wan-Bissaka
5,99127249,Antony
6,bac46a10,Lisandro Martínez
7,9f8e9423,Raphaël Varane
8,980522ec,Christian Eriksen
9,d9565625,Diogo Dalot
10,9c94165b,Luke Shaw
11,9674002f,Mason Mount
12,7aa8adfe,Alejandro Garnacho
13,8b788c01,Anthony Martial
14,f5deef4c,Victor Lindelöf
15,dbf053da,Jadon Sancho
16,491a433d,Rasmus Højlund
17,d8931174,Harry Maguire
18,ac7e7b1c,Facundo Pellistri
19,d93c2511,Scott McTominay
20,f8fcd2a5,Jonny Evans
21,072e68ed,Altay Bayındır
22,33a68b9b,Álvaro Fernández
23,861e9b3b,Daniel Gore
24,e5a76dfe,Dean Henderson
25,ca22ccb0,Hannibal Mejbri
26,3353737a,Sergio Reguilón
27,d617bff6,Radek Vítek
