,fbref_id,Name
0,cc77354e,Boubacar Kamara
1,0313a347,Ezri Konsa
2,2389cdc2,Matty Cash
3,1b84dbe1,Lucas Digne
4,90f91999,John McGinn
5,aed3a70f,Ollie Watkins
6,aeed5c06,Moussa Diaby
7,6f7d826d,Douglas Luiz
8,532e1e4f,Pau Torres
9,7956236f,Emiliano Martínez
10,b4a014b1,Diego Carlos
11,3a233281,Leon Bailey
12,e7ee38c3,Robin Olsen
13,8397a50c,Tyrone Mings
14,56f7a928,Youri Tielemans
15,9907b1c8,Nicolò Zaniolo
16,414184f7,Jhon Durán
17,0ef89a37,Philippe Coutinho
18,c47541e0,Bertrand Traoré
19,05e8ca6d,Cameron Archer
20,19f4d211,Jaden Philogene Bidace
21,dc6f5bdd,Calum Chambers
22,5a7301ae,Leander Dendoncker
23,aa888da7,Omari Kellyman
24,4f28a6ff,Clément Lenglet
25,a79abd8b,Filip Marshall
26,be18d79f,Oliwier Zych
