,fbref_id,Name
0,700783e7,Levi Colwill
1,ad82197c,Axel Disasi
2,5ff4ab71,Enzo Fernández
3,6a713852,Robert Sánchez
4,86e7deaf,Thiago Silva
5,9c36ed83,Nicolas Jackson
6,b400bde0,Raheem Sterling
7,c2731c10,Conor Gallagher
8,d2424d1b,Ben Chilwell
9,d56b9520,Malo Gusto
10,16264a81,Moisés Caicedo
11,b2f9c73e,Carney Chukwuemeka
12,1265a93a,Reece James
13,049a888d,Mykhailo Mudryk
14,bf34eebd,Noni Madueke
15,cab9634e,Ian Maatsen
16,dc7f8a28,Cole Palmer
17,dab84ad2,Mason Burstow
18,1df4a109,Lesley Ugochukwu
19,7cbd6d68,Eddie Beach
20,b59c2a92,Lucas Bergström
21,1daec722,Marc Cucurella
22,d2b32e91,Bashir Humphreys
23,12de1b0d,Diego Moreira
24,0cf321c8,Đorđe Petrović
25,dd745366,Andrey Santos
26,95bd120d,Deivid Washington
