,fbref_id,Name
0,3bb7b8b4,Ederson
1,15ab5a2b,Julián Álvarez
2,86dd77d1,Kyle Walker
3,1f44ac21,Erling Haaland
4,6434f10d,Rodri
5,79c0821a,Mateo Kovačić
6,ed1e53f3,Phil Foden
7,89ac64a6,Manuel Akanji
8,31c69ef1,Rúben Dias
9,eaeca114,Nathan Aké
10,3eb22ec9,Bernardo Silva
11,5ad50391,Joško Gvardiol
12,b0b4fd3e,Jack Grealish
13,b57e066e,Rico Lewis
14,fffea3e5,Jeremy Doku
15,e46012d4,Kevin De Bruyne
16,01e5f06e,Sergio Gómez
17,119b9a8e,Aymeric Laporte
18,dc7f8a28,Cole Palmer
19,4f565d77,Kalvin Phillips
20,eed2427e,Oscar Bobb
21,96593e89,James Mcatee
22,3e1550ee,Scott Carson
23,e6af02e0,Matheus Nunes
24,c1242d4e,Stefan Ortega
25,53552942,Máximo Perrone
