,fbref_id,Name
0,7a2e46a8,Alisson
1,2e4f5f03,Andrew Robertson
2,934e1968,Dominik Szoboszlai
3,e342ad68,Mohamed Salah
4,cd1acf9d,Trent Alexander-Arnold
5,83d074ff,Alexis Mac Allister
6,4a1a9578,Luis Díaz
7,1971591f,Cody Gakpo
8,e06683ca,Virgil van Dijk
9,178ae8f8,Diogo Jota
10,5ed9b537,Ibrahima Konaté
11,b217ef29,Joël Matip
12,7a11550b,Joe Gomez
13,4d77b365,Darwin Núñez
14,c149016b,Wataru Endo
15,4fb9c88f,Curtis Jones
16,b9e1436c,Harvey Elliott
17,4125cb98,Jarrell Quansah
18,733f1a7d,Ben Doak
19,f315ca93,Kostas Tsimikas
20,32e8417f,Stefan Bajcetic
21,62d7ef38,Caoimhín Kelleher
22,bf973eeb,James McConnell
