,fbref_id,Name
0,e34fc66d,Joachim Andersen
1,da052c14,Jordan Ayew
2,ce4f40c7,Cheick Doucouré
3,ae4fc6a4,Eberechi Eze
4,9e5708be,Sam Johnstone
5,9b5ce51a,Jefferson Lerma
6,5cbd1eb0,Tyrick Mitchell
7,d0706b27,Marc Guéhi
8,8a7ff278,Joel Ward
9,0562b7f1,Odsonne Édouard
10,3312f911,Jeffrey Schlupp
11,50e6dc35,Jean-Philippe Mateta
12,a6c58494,Naouirou Ahamada
13,45685411,Jesuran Rak Sakyi
14,a0666d3e,Will Hughes
15,e7ca0439,James Tomkins
16,0442183b,Nathaniel Clyne
17,d7e24aa1,John-Kymani Gordon
18,e5a76dfe,Dean Henderson
19,27f4f772,Remi Matthews
20,0a3d6d2b,Chris Richards
21,7a1f2c08,Jaïro Riedewald
