,fbref_id,Name
0,282f75f3,Lewis Dunk
1,d38fdf53,Pervis Estupiñán
2,74618572,Kaoru Mitoma
3,8aec0537,Pascal Groß
4,bb5fbd2b,Solly March
5,df10e27c,Billy Gilmour
6,2f90f6b8,James Milner
7,ce5143da,Danny Welbeck
8,e8832875,João Pedro
9,4596da74,Evan Ferguson
10,4fd08daa,Jan Paul van Hecke
11,28300a16,Jason Steele
12,cf134113,Bart Verbruggen
13,c40b6180,Adam Webster
14,dad4b285,Joël Veltman
15,db4ed67b,Mahmoud Dahoud
16,9cfbad36,Julio César Enciso
17,99813635,Adam Lallana
18,4dcec659,Simon Adingra
19,f4e433d4,Tariq Lamptey
20,ad1f61f3,Steven Alzate
21,468a7a91,Facundo Buonanotte
22,a4e85758,Igor
