,fbref_id,Name
0,8fe2a392,Micky van de Ven
1,77d6fd4d,Guglielmo Vicario
2,df3cda47,Dejan Kulusevski
3,6c203af0,Yves Bissouma
4,ee38d9c5,James Maddison
5,7cd520e8,Destiny Udogie
6,92e7e919,Son Heung-min
7,a3d94a58,Cristian Romero
8,27d0a506,Pedro Porro
9,fa031b34,Richarlison
10,feb5d972,Pape Matar Sarr
11,df8b52a5,Emerson
12,6250083a,Oliver Skipp
13,886f9aac,Manor Solomon
14,6fe90922,Ivan Perišić
15,da7b447d,Davinson Sánchez
16,8b04d6c1,Pierre Højbjerg
17,44781702,Ben Davies
18,d7553721,Giovani Lo Celso
19,5e253986,Brandon Austin
20,c3e39f12,Fraser Forster
21,4f21d3af,Ashley Phillips
